Marca_Modelo,Versiones,TopTransmisiones,TopLocations,anchor_MM,n
Nissan Versa,"['1.6 ADVANCE', '1.6 ADVANCE AUTO', '1.6 ADVANCE CVT', '1.6 DRIVE', '1.6 DRIVE A/C', '1.6 EXCLUSIVE AUTO', '1.6 EXCLUSIVE CVT', '1.6 PLATINUM CVT', '1.6 SENSE', '1.6 SENSE AUTO', '1.6 SENSE CVT', '1.6 SR CVT']","['Automático', 'Manual']","['Ciudad de México', 'Querétaro', 'Puebla', 'Guadalajara', 'Monterrey']",264000.0,317
Nissan X-Trail,"['1.5 HEV E-POWER EXCLUSIVE', '1.5 HEV E-POWER PLATINUM', '2.0 HYBRID CVT', '2.5 ADVANCE 2 ROW AUTO', '2.5 ADVANCE 2 ROW CVT', '2.5 ADVANCE 3 ROW AUTO', '2.5 ADVANCE 3 ROW CVT', '2.5 EXCLUSIVE 2 ROW AUTO', '2.5 EXCLUSIVE 2 ROW CVT', '2.5 EXCLUSIVE 3 ROW AUTO 4WD', '2.5 EXCLUSIVE 3 ROW CVT 4WD', '2.5 PLATINUM 2 ROW CVT', '2.5 PLATINUM 3 ROW CVT', '2.5 PLATINUM PLUS 2 ROW CVT', '2.5 SENSE 2 ROW AUTO', '2.5 SENSE 2 ROW CVT', '2.5 SENSE 3 ROW AUTO', '2.5 SENSE 3 ROW CVT', '2.5 XTREMER 2 ROW AUTO']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Monterrey', 'Puebla']",547040.0,168
Omoda C5,"['1.5 PREMIUM CVT', '1.6 UNLIMITED PLUS DCT']",['Automático'],"['Ciudad de México', 'Querétaro', 'Monterrey', 'Guadalajara']",330576.0,5
Omoda O5,"['1.6 GT LIFE DCT', '1.6 GT UNLIMITED DCT']",['Automático'],"['Ciudad de México', 'Guadalajara']",330144.0,3
Peugeot 2008,"['1.2 ACTIVE AUTO', '1.2 ACTIVE AUTO FL', '1.2 ALLURE AUTO', '1.2 ALLURE PACK', '1.2 ALLURE PACK AUTO', '1.2 ALLURE PACK AUTO FL', '1.2 GT AUTO', '1.2 GT AUTO ADAS', '1.2 GT AUTO ADAS SC', '1.2 GT AUTO FL', '1.2 GT LINE AUTO', '1.2 GT LINE AUTO SC']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey', 'Cuernavaca']",340800.0,48
Peugeot 208,"['1.2 ACTIVE PURETECH', '1.2 ALLURE PACK PURETECH AUTO', '1.2 ALLURE PURETECH', '1.2 PURETECH ALLURE AUTO', '1.2 PURETECH GT AUTO']","['Automático', 'Manual']","['Guadalajara', 'Ciudad de México', 'Monterrey', 'Querétaro', 'Puebla']",216800.0,16
Peugeot 3008,"['1.6 THP ACTIVE AUTO', '1.6 THP ALLURE PACK AUTO', '1.6 THP ALLURE PACK AUTO SC', '1.6 THP ALLURE PACK AUTO SCC', '1.6 THP GT AUTO', '1.6 THP GT AUTO SC', '1.6 THP GT AUTO SCC', '1.6 THP GT LINE AUTO', '2.0 HDI ALLURE PACK AUTO', '2.0 HDI GT AUTO SC', '2.0 HDI GT AUTO SCC', '2.0 HDI GT LINE AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey', 'Querétaro']",406640.0,39
Peugeot 301,"['1.6 ACTIVE', '1.6 ALLURE AT 6VEL', '1.6 ALLURE AUTO', '1.6 ALLURE HDI MT', '1.6 HDI ALLURE SPA', '1.6 HDI ALLURE SPA SS']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey']",139200.0,11
Peugeot 308,['1.6 GT AUTO'],['Automático'],['Ciudad de México'],246400.0,1
Peugeot 5008,"['1.6 ALLURE PACK AUTO', '1.6 GT LINE AUTO', '1.6 THP ALLURE PACK AUTO SCC', '2.0 HDI GT AUTO SC', '2.0 HDI GT LINE AUTO']",['Automático'],"['Guadalajara', 'Ciudad de México', 'Puebla']",280000.0,5
